ID,PCAW,"Building Number","Sub Building","Building Name",Street,City,County,Postcode
2125167,AE19239699,23-25,"Apartment 14",,"Hilton Street",Manchester,Lancashire,"M1 1EL"
2125166,AB8318457,139,,,"Astra Drive",Gravesend,Kent,"DA12 4QF"
2125165,AE33881542,,"Flat 30","Bradley Court","Highweek Street","Newton Abbot",Devon,"TQ12 1TT"
2125164,AB17625010,10,,,"Thistley Close",Leicester,Leicestershire,"LE3 3RZ"
2125163,AE19070900,17-19,"Flat 10","Madina House","Downs Road",Luton,Bedfordshire,"LU1 1QP"
2125162,AB201701,10,,,"Gordon Close",Westhill,Aberdeenshire,"AB32 6LL"
2125161,AB25681515,154,,,"Alexandra Road",Plymouth,Devon,"PL2 1JY"
2125158,AE6228732,,6,"Montpellier House","Montpellier Crescent",Wallasey,Merseyside,"CH45 9NF"
2125157,AB9336434,32,,,"Claxton Avenue",Darlington,"County Durham","DL3 9PZ"
2125156,AB16562437,35,,,"Pottery Street",Kirkcaldy,Fife,"KY1 3ET"
2125155,AB16683216,22,,,"Upper Wellheads",Dunfermline,Fife,"KY11 3JQ"
2125154,AB12495927,5,,,"Keith Court",Glasgow,Lanarkshire,"G11 6QW"
2125152,AB24561765,14,,,"Tyburn Glen",Didcot,Oxfordshire,"OX11 7UH"
2125151,AB12954246,83,,,"Torbrex Road",Glasgow,Lanarkshire,"G67 2JX"
2125150,AB1127179,6,,,"Sketchley Close",Smethwick,"West Midlands","B66 3BN"
2125149,AB2237536,51,,,"Dawson Road",Keighley,"West Yorkshire","BD21 5PH"
2125148,AB19388801,21,,,"Sexa Street",Manchester,Lancashire,"M11 1AP"
2125147,AB21115430,33,,,"Munster Gardens",London,,"N13 5DS"
2125146,AB15280840,15,,,"Charlbury Gardens",Ilford,Essex,"IG3 9TU"
2125145,AE22644308,39,,,"Tamer Road",Sleaford,Lincolnshire,"NG34 7SG"
2125144,AB11324911,70,,,"Pinkiehill Crescent",Musselburgh,Midlothian,"EH21 7NH"
2125143,AB24267928,13,,,"Edith Street",Oldham,Lancashire,"OL8 2AL"
2125142,AG29287536,14,,,"Oakcroft Road",London,,"SE13 7ED"
2125141,AE31463482,15,,,"Kingfisher Street",Southend-On-Sea,Essex,"SS3 0FS"
2125139,AB18407090,10,,,"Rhen Ysgol",Holyhead,Gwynedd,"LL65 3PJ"
2125137,AB34154496,37,,,"Parliament Road",Middlesbrough,Cleveland,"TS1 4JP"
2125136,AB13271293,107,,,"Gambier Parry Gardens",Gloucester,Gloucestershire,"GL2 9RE"
2125135,AE1317173,12,,,Churchside,Tamworth,Staffordshire,"B79 9HE"
2125134,AE31425364,142,Flat,,"York Road",Southend-On-Sea,Essex,"SS1 2EA"
2125133,AB28079815,38,,,"Reynard Crescent",Sheffield,"South Yorkshire","S21 3WD"
2125132,AB36743456,19,,,"Lewis Close",Lichfield,Staffordshire,"WS14 9UE"
2125131,AB29858348,38,,,"Cambridge Street",Stockport,Cheshire,"SK2 6PY"
2125130,AB7809460,247,,,"Clifton Road",Rugby,Warwickshire,"CV21 3QU"
2125129,AB21692000,24,,,"Pinetree Gardens","Whitley Bay","Tyne And Wear","NE25 8XX"
2125126,AE7714269,11,,,"Austin Close",Atherstone,Warwickshire,"CV9 2DQ"
2125125,AB2237536,51,,,"Dawson Road",Keighley,"West Yorkshire","BD21 5PH"
2125124,AB2094436,27,,,"Chellow Dene View",Bradford,"West Yorkshire","BD9 6BW"
2125123,AB12379400,40,,,"Warrenhurst Road",Fleetwood,Lancashire,"FY7 6TP"
2125121,AB11609733,31,,,"Ashford Crescent",Enfield,Middlesex,"EN3 7HX"
2125120,AB1678589,63,,,"Beer Street",Yeovil,Somerset,"BA20 2AE"
2125119,AB30393358,194,,,"Carshalton Road",Sutton,Surrey,"SM1 4SA"
2125118,AB8903276,23,,,"Duke Street",Alfreton,Derbyshire,"DE55 2DD"
2125117,AB399720,84,,,"Hughenden Road","St. Albans",Hertfordshire,"AL4 9QR"
2125116,AB16046173,15,,,Townhead,Mauchline,Ayrshire,"KA5 6SF"
2125115,AG31803058,,,"Glan Dovey","Newcastle Road",Newcastle,Staffordshire,"ST5 4DQ"
2125114,AB22990485,220,,,"Rockingham Road",Kettering,Northamptonshire,"NN16 9AJ"
2125113,AB8576653,42,,,"Howard Street",Arbroath,Angus,"DD11 4DH"
2125112,AB13015093,36,,,"Main Street",Glasgow,Lanarkshire,"G72 0XY"
2125111,AB16631879,9,,,"Well Road",Glenrothes,Fife,"KY7 5HJ"
2125110,AB9838931,2,,,"Fairfield Road",Grimsby,"South Humberside","DN33 3DP"
2125109,AB33563083,61,,,"Torrington Road",Ashford,Kent,"TN23 7TG"
2125108,AB31787585,3,,,"Sidmouth Avenue",Newcastle,Staffordshire,"ST5 0QN"
2125107,AB3423482,123,,,"The Grove","West Wickham",Kent,"BR4 9LA"
2125106,AB22955755,25,,,"Gordon Street",Kettering,Northamptonshire,"NN14 6BH"
2125104,AB30382526,,12,"Elmsleigh Court","Angel Hill",Sutton,Surrey,"SM1 3EG"
2125103,AB12678632,29,,,"Craigendmuir Street",Glasgow,Lanarkshire,"G33 1LG"
2125102,AB22755658,270,,,"Towcester Road",Northampton,Northamptonshire,"NN4 8LP"
2125101,AB32051535,,"Flat 27","Maclise House","Marsham Street",London,,"SW1P 4JJ"
2125100,AE3229150,336-338,"Flat B",,Seaside,Eastbourne,"East Sussex","BN22 7RJ"
2125099,AB8904488,6,,,"Kynance Close",Alfreton,Derbyshire,"DE55 2FD"
2125098,AB14130568,7,,,"Blenheim Crescent",Ruislip,Middlesex,"HA4 7HA"
2125097,AB16935651,25,,,"Lapwing Close",Liverpool,Merseyside,"L12 0PW"
2125096,AB5329478,4,,,"Argyll Court",Haverhill,Suffolk,"CB9 8LJ"
2125095,AB27178676,39,,,"Kelsey Avenue",Wokingham,Berkshire,"RG40 4TZ"
2125094,AB24797746,90,,,"Colinslee Drive",Paisley,Renfrewshire,"PA2 6QS"
2125093,AB6364934,10,,,"Elland Drive","Ellesmere Port","South Wirral","CH66 4UR"
2125092,AB8561487,40,,,"Condor Crescent",Montrose,Angus,"DD10 9ED"
2125091,AB2073531,11,,,"Bartle Grove",Bradford,"West Yorkshire","BD7 4QS"
2125090,AB15764184,15,,,"Wexford Way","Bury St. Edmunds",Suffolk,"IP32 6FN"
2125088,AB1150810,334,,,"Hagley Road West",Oldbury,"West Midlands","B68 0PA"
2125087,AB7793831,19,,,"Seymour Road",Rugby,Warwickshire,"CV21 1BL"
2125086,AB21837087,262,,,"Gosforth Avenue","South Shields","Tyne And Wear","NE34 8RH"
2125085,AB22667700,1,,,"Somerset Street",Northampton,Northamptonshire,"NN1 3LW"
2125084,AB36555247,21,,,"Penkridge Close",Walsall,"West Midlands","WS2 8JT"
2125083,AB35575004,7,,,"Dale Close",Widnes,Cheshire,"WA8 8JJ"
2125082,AE15154837,,,"Roe Bucks",,Halifax,"West Yorkshire","HX2 6DD"
2125081,AE23699898,130,"Flat 15",,"High Street",Lowestoft,Suffolk,"NR32 1HP"
2125080,AE10717644,25,"Apartment 3009","Arena Tower","Crossharbour Plaza",London,,"E14 9UE"
2125079,AE19452981,1,"Apartment 123",,"Jordan Street",Manchester,Lancashire,"M15 4QX"
2125078,AE23547383,6,,,"Queens Square",Attleborough,Norfolk,"NR17 2AZ"
2125077,AB23356481,31,,,Heathgate,Norwich,Norfolk,"NR3 1PQ"
2125076,AB34782927,83,,,Kingsway,Hayes,Middlesex,"UB3 2TX"
2125075,AE25983477,,"Flat 11","Gregorys Court","Robartes Road",Bodmin,Cornwall,"PL31 1HW"
2125074,AE23700060,2,"Flat 15","Beacon House","High Street",Lowestoft,Suffolk,"NR32 1HX"
2125073,AE5991014,58,,,"St. Georges",Chester,Cheshire,"CH1 3HQ"
2125072,AB35856919,45,,,"Pinner Road",Watford,Hertfordshire,"WD19 4EG"
2125071,AB12552755,743,,,"Anniesland Road",Glasgow,Lanarkshire,"G14 0XY"
2125070,AB2073428,11,,,"Hollybank Grove",Bradford,"West Yorkshire","BD7 4QN"
2125069,AB22603943,13,,,"Shorwell Close",Grantham,Lincolnshire,"NG31 7LL"
2125068,AB9632205,144,,,"King Georges Road",Doncaster,"South Yorkshire","DN11 0LJ"
2125067,AB98688,59,,,"Cummings Park Crescent",Aberdeen,Aberdeenshire,"AB16 7AS"
2125066,AE3578270,100,,,"Stapleton Road",Bristol,Avon,"BS5 0PR"
2125065,AB2123362,9,,,"St. Marys Drive",Bradford,"West Yorkshire","BD12 8QS"
2125064,AB7636271,58,,,"Branksome Road",Coventry,"West Midlands","CV6 1FX"
2125063,AB36745579,104,,,"Armitage Road",Rugeley,Staffordshire,"WS15 1BY"
2125062,AB21879116,,,Glenholme,"Stirling Lane","Rowlands Gill","Tyne And Wear","NE39 1PS"
2125061,AB3857158,28,,,"Blackthorn Gardens",Weston-Super-Mare,Avon,"BS22 6RZ"
2125060,AB6657398,173,,,"Joyners Field",Harlow,Essex,"CM18 7QD"
2125058,AB3435344,12,,,"Midfield Way",Orpington,Kent,"BR5 2QJ"
2125057,AG21196360,23,"Flat B",,"Stoke Newington Road",London,,"N16 8BJ"
