price,date_of_transfer,postcode,property_type,old_new,duration,paon,saon,street,locality,city,district,county,ppd_category_type,record_status
91000,1995-07-21,B79 9HE,D,Y,F,2,"",CHURCHSIDE,HARLASTON,TAMWORTH,LICHFIELD,STAFFORDSHIRE,A,A
47400,1995-07-13,NN4 8LP,S,N,F,256,"",TOWCESTER ROAD,NORTHAMPTON,NORTHAMPTON,NORTHAMPTON,NORTHAMPTONSHIRE,A,A
48000,1995-01-27,NN4 8LP,S,N,F,260,"",TOWCESTER ROAD,NORTHAMPTON,NORTHAMPTON,NORTHAMPTON,NORTHAMPTONSHIRE,A,A
13000,1995-07-18,SS1 2EA,F,N,L,142,FLAT 2,"",CREGOE STREET,SOUTHEND-ON-SEA,SOUTHEND-ON-SEA,SOUTHEND-ON-SEA,A,A
33500,1995-09-29,NN1 3LW,T,N,F,29,"",SOMERSET STREET,NORTHAMPTON,NORTHAMPTON,NORTHAMPTON,NORTHAMPTONSHIRE,A,A
81000,1995-07-31,B79 9HE,T,Y,F,5,"",CHURCHSIDE,HARLASTON,TAMWORTH,LICHFIELD,STAFFORDSHIRE,A,A
17500,1995-12-01,SS1 2EA,F,N,L,134,FLAT 3,YORK ROAD,SOUTHEND-ON-SEA,SOUTHEND-ON-SEA,SOUTHEND-ON-SEA,SOUTHEND-ON-SEA,A,A
25500,1995-07-14,OL8 2AL,T,N,L,30,"",EDITH STREET,OLDHAM,OLDHAM,OLDHAM,GREATER MANCHESTER,A,A
29500,1995-10-09,NN1 3LW,T,N,F,15,"",SOMERSET STREET,NORTHAMPTON,NORTHAMPTON,NORTHAMPTON,NORTHAMPTONSHIRE,A,A
94000,1995-06-30,B79 9HE,D,Y,F,6,"",CHURCHSIDE,HARLASTON,TAMWORTH,LICHFIELD,STAFFORDSHIRE,A,A
52500,1995-03-06,SW1P 4JJ,F,N,L,MACLISE HOUSE,FLAT 5,MARSHAM STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,A,A
31000,1995-01-27,IG3 9TU,T,N,F,29,"",CHARLBURY GARDENS,"",ILFORD,REDBRIDGE,GREATER LONDON,A,A
